trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
203,False,"{'a': 0.5, 'e': 0.2169175213969994}",30,6,33.91338878325129,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.21529063998652193}",25,11,11.947262811678987,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.21367596018662302}",20,0,30.218093534041515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.21207339048522336}",25,8,2.9700383765333402,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.2104828400565842}",30,18,-3.4195810279017063,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.2089042187561598}",20,11,18.48490590191962,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.20733743711548863}",20,8,20.34754052439954,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.20578240633712247}",25,17,15.542606836295056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.20423903828959405}",20,6,16.247710648822316,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.2027072455024221}",25,11,-23.56714501612575,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.5, 'e': 0.20118694116115396}",20,0,-11.368028793250318,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
214,False,"{'a': 0.5, 'e': 0.1996780391024453}",25,9,-8.416191918477534,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.19818045380917698}",20,11,0.18990111541686638,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.19669410040560817}",20,0,-43.2292946376717,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
217,False,"{'a': 0.5, 'e': 0.19521889465256612}",25,11,27.577107329847586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
